N;alpha;beta;eps;consensus_x;consensus_y;consensus_probabity;simulation_time
2500;0.5;0.5;0.15;0;0;0;0
2500;1.0;1.0;0.15;0;0;0;0
2500;1.5;1.5;0.15;0;0;0;0
2500;2.0;2.0;0.15;0;0;0;0
2500;2.5;2.5;0.15;4.003754633228054;3.964976992208546;8;153
2500;3.0;3.0;0.15;5.021943749826647;5.0000707198366285;10;83
2500;3.5;3.5;0.15;5.011691470198423;5.0067271257700785;10;77
2500;4.0;4.0;0.15;4.525849118413505;4.488887173021492;9;63
2500;4.5;4.5;0.15;5.006016739349945;5.001218201908174;10;70
2500;5.0;5.0;0.15;5.006037947898459;4.996443192264202;10;67
2500;0.5;0.5;0.2;0;0;0;0
2500;1.0;1.0;0.2;0;0;0;0
2500;1.5;1.5;0.2;4.520614500814574;4.484461951627482;9;157
2500;2.0;2.0;0.2;5.018811439546447;5.037023677403348;10;72
2500;2.5;2.5;0.2;4.996649855145762;5.0093651238459245;10;61
2500;3.0;3.0;0.2;5.004819983273604;5.0042975022211795;10;60
2500;3.5;3.5;0.2;5.020935815936354;4.968264265076214;10;60
2500;4.0;4.0;0.2;5.012686641716269;5.017016805843032;10;53
2500;4.5;4.5;0.2;4.984968923344561;4.9791449748996035;10;50
2500;5.0;5.0;0.2;4.502592348432201;4.509534322979681;9;45
2500;0.5;0.5;0.25;0;0;0;0
2500;1.0;1.0;0.25;4.022466883807741;3.97170711832466;8;240
2500;1.5;1.5;0.25;4.996974408827082;5.023178042253907;10;64
2500;2.0;2.0;0.25;5.008434112272477;4.993203892443525;10;60
2500;2.5;2.5;0.25;4.971401072753309;4.986945357600284;10;50
2500;3.0;3.0;0.25;4.993259674715949;5.000268190741273;10;50
2500;3.5;3.5;0.25;5.010615827452411;4.986609976860957;10;50
2500;4.0;4.0;0.25;4.984510859329231;5.0042002756904385;10;50
2500;4.5;4.5;0.25;5.016417736433494;5.007481315363832;10;50
2500;5.0;5.0;0.25;4.994881599296684;5.004098623639982;10;40
2500;0.5;0.5;0.30000000000000004;0.4936242348613006;0.5042316853122968;1;388
2500;1.0;1.0;0.30000000000000004;4.989111201747303;4.9761681075950435;10;70
2500;1.5;1.5;0.30000000000000004;4.992927365015053;4.981682591230234;10;50
2500;2.0;2.0;0.30000000000000004;4.9867100683350944;4.999899504818342;10;50
2500;2.5;2.5;0.30000000000000004;5.006814931196046;4.987191733193678;10;50
2500;3.0;3.0;0.30000000000000004;4.988610680333093;5.0047688316939505;10;41
2500;3.5;3.5;0.30000000000000004;4.99488676244016;5.0089069353693585;10;40
2500;4.0;4.0;0.30000000000000004;4.991318288163463;4.984814798381195;10;40
2500;4.5;4.5;0.30000000000000004;4.989482337423006;4.994684887640993;10;40
2500;5.0;5.0;0.30000000000000004;5.004399902812691;5.00904435439487;10;40
2500;0.5;0.5;0.3500000000000001;5.072897762128703;5.018115295935212;10;285
2500;1.0;1.0;0.3500000000000001;5.0380646042787145;4.991740768383677;10;50
2500;1.5;1.5;0.3500000000000001;5.00864287490661;5.002663826901861;10;50
2500;2.0;2.0;0.3500000000000001;4.996970892246375;4.9971979573058505;10;40
2500;2.5;2.5;0.3500000000000001;5.011678859315216;4.990399087268326;10;40
2500;3.0;3.0;0.3500000000000001;5.008246357594942;4.9998404570652415;10;40
2500;3.5;3.5;0.3500000000000001;5.021919205269138;4.982887249557483;10;40
2500;4.0;4.0;0.3500000000000001;4.991430035599275;5.001034879266358;10;40
2500;4.5;4.5;0.3500000000000001;5.008540804386877;4.990682212401042;10;40
2500;5.0;5.0;0.3500000000000001;4.993194807838713;4.9941675651895485;10;40
2500;0.5;0.5;0.40000000000000013;5.008723995662948;4.994148527490049;10;80
2500;1.0;1.0;0.40000000000000013;4.987381056702976;4.981247131802586;10;50
2500;1.5;1.5;0.40000000000000013;4.96004175001681;5.007831442581;10;40
2500;2.0;2.0;0.40000000000000013;5.007739788336922;5.030360241691291;10;40
2500;2.5;2.5;0.40000000000000013;5.0120958997570115;5.0040245365371545;10;40
2500;3.0;3.0;0.40000000000000013;5.005953604494568;5.000294445142114;10;40
2500;3.5;3.5;0.40000000000000013;4.9931334087550825;5.013865992373852;10;40
2500;4.0;4.0;0.40000000000000013;4.997608697287605;5.0053271039891545;10;40
2500;4.5;4.5;0.40000000000000013;4.9901593686507795;4.977219057757915;10;37
2500;5.0;5.0;0.40000000000000013;4.997977818834614;5.00105065473286;10;30
2500;0.5;0.5;0.45000000000000007;4.996051393418328;5.024971796355682;10;58
2500;1.0;1.0;0.45000000000000007;4.973082544977151;4.961780507662975;10;40
2500;1.5;1.5;0.45000000000000007;4.992540299816752;5.01775197224875;10;40
2500;2.0;2.0;0.45000000000000007;4.973360883813663;4.984684648846828;10;40
2500;2.5;2.5;0.45000000000000007;5.008927141973904;5.023738859104943;10;40
2500;3.0;3.0;0.45000000000000007;4.991736976107694;5.01685493540617;10;40
2500;3.5;3.5;0.45000000000000007;4.997966066194151;4.999939296488432;10;30
2500;4.0;4.0;0.45000000000000007;4.999809496166134;5.002961939082355;10;30
2500;4.5;4.5;0.45000000000000007;5.001783643800744;4.996175850989683;10;30
2500;5.0;5.0;0.45000000000000007;5.019043030234204;4.99792423943192;10;30
2500;0.5;0.5;0.5000000000000001;5.006952353852569;4.987227392717029;10;50
2500;1.0;1.0;0.5000000000000001;5.005314543051262;5.000201239938802;10;40
2500;1.5;1.5;0.5000000000000001;5.006477159365376;4.974964292756417;10;40
2500;2.0;2.0;0.5000000000000001;5.009295647324636;5.043084075020985;10;40
