N;alpha;beta;eps;expon_alpha;consensus_x;consensus_y;consensus_probabity;simulation_time;type;simulation_count
50.0;0.5;0.5;0.15;;0.0;0.0;0.0;0.0;ONE_BETA;400.0
50.0;1.0;1.0;0.15;;0.0;0.0;0.0;0.0;ONE_BETA;800.0
50.0;1.5;1.5;0.15;;0.0;0.0;0.0;0.0;ONE_BETA;800.0
50.0;2.0;2.0;0.15;;0.0;0.0;0.0;0.0;ONE_BETA;800.0
50.0;2.5;2.5;0.15;;0.0;0.0;0.0;0.0;ONE_BETA;800.0
50.0;3.0;3.0;0.15;;0.0;0.0;0.0;0.0;ONE_BETA;400.0
50.0;1.0;1.0;0.15;;0.0;0.0;0.0;0.0;ONE_BETA;0.0
50.0;1.5;1.5;0.15;;0.0;0.0;0.0;0.0;ONE_BETA;0.0
50.0;2.0;2.0;0.15;;0.0;0.0;0.0;0.0;ONE_BETA;0.0
50.0;2.5;2.5;0.15;;0.0;0.0;0.0;0.0;ONE_BETA;0.0
50.0;3.0;3.0;0.15;;0.0;0.0;0.0;0.0;ONE_BETA;0.0
50.0;3.5;3.5;0.15;;0.0;0.0;0.0;0.0;ONE_BETA;400.0
50.0;4.0;4.0;0.15;;0.0;0.0;0.0;0.0;ONE_BETA;400.0
50.0;4.5;4.5;0.15;;0.0;0.0;0.0;0.0;ONE_BETA;400.0
50.0;5.0;5.0;0.15;;0.0;0.0;0.0;0.0;ONE_BETA;400.0
50.0;0.5;0.5;0.2;;0.0;0.0;0.0;0.0;ONE_BETA;400.0
50.0;1.0;1.0;0.2;;0.0;0.0;0.0;0.0;ONE_BETA;400.0
50.0;1.5;1.5;0.2;;0.0;0.0;0.0;0.0;ONE_BETA;400.0
50.0;2.0;2.0;0.2;;0.0;0.0;0.0;0.0;ONE_BETA;400.0
50.0;2.5;2.5;0.2;;0.0;0.0;0.0;0.0;ONE_BETA;400.0
50.0;3.0;3.0;0.2;;0.9808975539023496;0.978491056528322;2.0;38.0;ONE_BETA;400.0
50.0;3.5;3.5;0.2;;0.4889437226955927;0.3768547285022364;1.0;8.0;ONE_BETA;400.0
50.0;4.0;4.0;0.2;;0.0;0.0;0.0;0.0;ONE_BETA;400.0
50.0;4.5;4.5;0.2;;1.5820567493571691;1.2580365769314568;3.0;48.0;ONE_BETA;400.0
50.0;5.0;5.0;0.2;;3.4820272663855687;3.1756891594418053;7.0;85.0;ONE_BETA;400.0
50.0;0.5;0.5;0.25;;0.0;0.0;0.0;0.0;ONE_BETA;400.0
50.0;1.0;1.0;0.25;;0.0;0.0;0.0;0.0;ONE_BETA;400.0
50.0;1.5;1.5;0.25;;10.429549251661646;10.21040235639662;21.0;227.0;ONE_BETA;400.0
50.0;2.0;2.0;0.25;;18.952399818925628;18.6734564116228;38.0;419.0;ONE_BETA;400.0
50.0;2.5;2.5;0.25;;33.34568837508586;33.94672157288775;67.0;693.0;ONE_BETA;400.0
50.0;3.0;3.0;0.25;;44.51848678635908;44.16348447409665;89.0;929.0;ONE_BETA;400.0
50.0;3.5;3.5;0.25;;56.226061575258896;56.31956269728616;113.0;1007.0;ONE_BETA;400.0
50.0;4.0;4.0;0.25;;57.83643556132987;58.21683083602504;116.0;1085.0;ONE_BETA;400.0
50.0;4.5;4.5;0.25;;55.12420532388383;55.27831097289416;110.0;1031.0;ONE_BETA;400.0
50.0;5.0;5.0;0.25;;65.84699767517331;66.44336697223925;132.0;1258.0;ONE_BETA;400.0
50.0;0.5;0.5;0.3;;6.545131197127234;6.52870744310438;13.0;139.0;ONE_BETA;400.0
50.0;1.0;1.0;0.3;;50.408999012129634;49.81590591986381;100.0;903.0;ONE_BETA;400.0
50.0;1.5;1.5;0.3;;104.39797622792008;103.66908129020432;209.0;1706.0;ONE_BETA;400.0
50.0;2.0;2.0;0.3;;128.60377334885757;127.62687254522092;256.0;1960.0;ONE_BETA;400.0
50.0;2.5;2.5;0.3;;140.71112312634853;142.05423434462608;283.0;2119.0;ONE_BETA;400.0
50.0;3.0;3.0;0.3;;155.29142367271268;157.20662093848733;313.0;2242.0;ONE_BETA;400.0
50.0;3.5;3.5;0.3;;166.77947444462052;166.16272036075375;333.0;2360.0;ONE_BETA;400.0
50.0;4.0;4.0;0.3;;157.8254549825689;156.58690980192054;316.0;2300.0;ONE_BETA;400.0
50.0;4.5;4.5;0.3;;163.27089477705132;161.8956352765458;326.0;2299.0;ONE_BETA;400.0
50.0;5.0;5.0;0.3;;160.04065763009584;160.49310360596803;320.0;2231.0;ONE_BETA;400.0
50.0;0.5;0.5;0.35;;46.74147155798083;45.653690114252136;94.0;996.0;ONE_BETA;400.0
50.0;1.0;1.0;0.35;;152.95610551008951;153.94961021757584;307.0;2090.0;ONE_BETA;400.0
50.0;1.5;1.5;0.35;;184.57266150722256;183.90200207941632;368.0;2183.0;ONE_BETA;400.0
50.0;2.0;2.0;0.35;;188.8364178622848;188.63683253428349;380.0;2144.0;ONE_BETA;400.0
50.0;2.5;2.5;0.35;;192.25525202801427;191.3142079455049;384.0;2118.0;ONE_BETA;400.0
50.0;3.0;3.0;0.35;;196.95211613425792;195.49402455446867;393.0;2111.0;ONE_BETA;400.0
50.0;3.5;3.5;0.35;;195.0051719737689;196.61704564051192;392.0;2056.0;ONE_BETA;400.0
50.0;4.0;4.0;0.35;;193.8617555121067;195.0557644554168;388.0;2065.0;ONE_BETA;400.0
50.0;4.5;4.5;0.35;;196.59538156354407;195.53302500362727;394.0;2028.0;ONE_BETA;400.0
50.0;5.0;5.0;0.35;;195.49070936395623;196.38227544303228;392.0;2033.0;ONE_BETA;400.0
50.0;0.5;0.5;0.4;;126.14635307922124;127.77584627095048;253.0;1980.0;ONE_BETA;400.0
50.0;1.0;1.0;0.4;;196.11260831298625;195.1981581597553;394.0;2082.0;ONE_BETA;400.0
50.0;1.5;1.5;0.4;;198.42560801884616;197.716008842784;398.0;1909.0;ONE_BETA;400.0
50.0;2.0;2.0;0.4;;200.2820053709544;200.28890993081976;399.0;1832.0;ONE_BETA;400.0
50.0;2.5;2.5;0.4;;199.32674589930892;200.26683415568;399.0;1781.0;ONE_BETA;400.0
50.0;3.0;3.0;0.4;;200.45051217276017;199.51077403682964;399.0;1763.0;ONE_BETA;400.0
50.0;3.5;3.5;0.4;;200.26654008523303;199.4239989626526;400.0;1740.0;ONE_BETA;400.0
50.0;4.0;4.0;0.4;;200.1922872654482;199.5590115374237;400.0;1715.0;ONE_BETA;400.0
50.0;4.5;4.5;0.4;;200.5575828585153;199.15044925136016;400.0;1704.0;ONE_BETA;400.0
50.0;5.0;5.0;0.4;;200.5449056376448;199.3724274088053;400.0;1695.0;ONE_BETA;400.0
50.0;0.5;0.5;0.45;;185.9112762403676;187.4227782839409;374.0;2233.0;ONE_BETA;400.0
50.0;1.0;1.0;0.45;;200.4169054813296;199.28919791680457;400.0;1750.0;ONE_BETA;400.0
50.0;1.5;1.5;0.45;;200.588783112244;199.5180123620096;400.0;1643.0;ONE_BETA;400.0
50.0;2.0;2.0;0.45;;199.3899780381217;199.8207141506697;400.0;1623.0;ONE_BETA;400.0
50.0;2.5;2.5;0.45;;199.91284762867585;201.73338446568908;400.0;1613.0;ONE_BETA;400.0
50.0;3.0;3.0;0.45;;199.84428998362705;198.2531700889386;400.0;1607.0;ONE_BETA;400.0
50.0;3.5;3.5;0.45;;200.43199910094265;200.019362030878;400.0;1609.0;ONE_BETA;400.0
50.0;4.0;4.0;0.45;;199.8880917611129;200.4752379162428;400.0;1607.0;ONE_BETA;400.0
50.0;4.5;4.5;0.45;;199.8319597855352;200.53053511045687;400.0;1601.0;ONE_BETA;400.0
50.0;5.0;5.0;0.45;;199.3933946929729;199.95531426102508;400.0;1602.0;ONE_BETA;400.0
50.0;0.5;0.5;0.5;;197.50638944952024;198.8953982668339;398.0;1933.0;ONE_BETA;400.0
50.0;1.0;1.0;0.5;;200.82244009295405;199.3881657554008;400.0;1606.0;ONE_BETA;400.0
50.0;1.5;1.5;0.5;;198.92819029448745;200.17023564778864;400.0;1600.0;ONE_BETA;400.0
50.0;2.0;2.0;0.5;;200.8010054081393;198.12028768831533;400.0;1595.0;ONE_BETA;400.0
50.0;2.5;2.5;0.5;;198.8624320876979;198.43007792891072;400.0;1585.0;ONE_BETA;400.0
50.0;3.0;3.0;0.5;;199.1513657885883;198.38078554751985;400.0;1573.0;ONE_BETA;400.0
50.0;3.5;3.5;0.5;;199.75599309864305;199.77094593682995;400.0;1561.0;ONE_BETA;400.0
50.0;4.0;4.0;0.5;;199.9877383051233;199.97628049576485;400.0;1538.0;ONE_BETA;400.0
50.0;4.5;4.5;0.5;;200.3813622032729;200.1891328019114;400.0;1533.0;ONE_BETA;400.0
50.0;5.0;5.0;0.5;;199.56616350198456;199.28116047325207;400.0;1505.0;ONE_BETA;400.0
50.0;0.5;0.5;0.55;;198.3297552977408;198.9502452188329;400.0;1667.0;ONE_BETA;400.0
50.0;1.0;1.0;0.55;;199.9474347293529;198.97278648147983;400.0;1589.0;ONE_BETA;400.0
50.0;1.5;1.5;0.55;;200.88671377387976;199.10985510736216;400.0;1510.0;ONE_BETA;400.0
50.0;2.0;2.0;0.55;;198.7296020430516;201.0097473669276;400.0;1433.0;ONE_BETA;400.0
50.0;2.5;2.5;0.55;;200.23083565232133;200.77562109593973;400.0;1366.0;ONE_BETA;400.0
50.0;3.0;3.0;0.55;;199.7903173664502;199.56504312833104;400.0;1332.0;ONE_BETA;400.0
50.0;3.5;3.5;0.55;;199.7026938525464;200.738174775002;400.0;1307.0;ONE_BETA;400.0
50.0;4.0;4.0;0.55;;199.82554453663704;200.4606442873202;400.0;1298.0;ONE_BETA;400.0
50.0;4.5;4.5;0.55;;200.00467268152627;200.0091523842312;400.0;1279.0;ONE_BETA;400.0
50.0;5.0;5.0;0.55;;200.7527665002204;200.4158848470959;400.0;1257.0;ONE_BETA;400.0
50.0;0.5;0.5;0.6;;200.29431231619267;202.08114780139144;400.0;1599.0;ONE_BETA;400.0
50.0;1.0;1.0;0.6;;198.9899811440864;199.5907009415812;400.0;1443.0;ONE_BETA;400.0
50.0;1.5;1.5;0.6;;200.6787286723037;200.37686539579127;400.0;1270.0;ONE_BETA;400.0
50.0;2.0;2.0;0.6;;199.93166319813363;200.18585289016303;400.0;1235.0;ONE_BETA;400.0
50.0;2.5;2.5;0.6;;199.66674392928115;200.8012864005376;400.0;1213.0;ONE_BETA;400.0
50.0;3.0;3.0;0.6;;200.47461751565368;201.63979269845137;400.0;1205.0;ONE_BETA;400.0
50.0;3.5;3.5;0.6;;199.2458699081856;200.86827627365983;400.0;1203.0;ONE_BETA;400.0
50.0;4.0;4.0;0.6;;200.0597867442881;199.77150119335383;400.0;1201.0;ONE_BETA;400.0
50.0;4.5;4.5;0.6;;200.4363436553253;199.18432612995943;400.0;1201.0;ONE_BETA;400.0
50.0;5.0;5.0;0.6;;200.62383928936;200.3371811737808;400.0;1203.0;ONE_BETA;400.0
50.0;0.5;0.5;0.65;;199.9357530734461;200.1701385641213;400.0;1536.0;ONE_BETA;400.0
50.0;1.0;1.0;0.65;;200.37032426046045;200.4911504555407;400.0;1240.0;ONE_BETA;400.0
50.0;1.5;1.5;0.65;;200.2802629730534;200.1467727168991;400.0;1205.0;ONE_BETA;400.0
50.0;2.0;2.0;0.65;;199.6954219739264;198.27481519843096;400.0;1201.0;ONE_BETA;400.0
50.0;2.5;2.5;0.65;;200.51376799186087;199.84539448297983;400.0;1201.0;ONE_BETA;400.0
50.0;3.0;3.0;0.65;;199.2571119978633;199.44043037793296;400.0;1200.0;ONE_BETA;400.0
50.0;3.5;3.5;0.65;;200.43827518034345;199.2916654852752;400.0;1200.0;ONE_BETA;400.0
50.0;4.0;4.0;0.65;;200.59136729451825;199.54966230694905;400.0;1200.0;ONE_BETA;400.0
50.0;4.5;4.5;0.65;;201.1206592422812;200.5916212471493;400.0;1200.0;ONE_BETA;400.0
50.0;5.0;5.0;0.65;;199.31980420674947;198.68116524228813;400.0;1200.0;ONE_BETA;400.0
50.0;0.5;0.5;0.7;;199.77680021093028;198.90951256343047;400.0;1271.0;ONE_BETA;400.0
50.0;1.0;1.0;0.7;;198.3134415627893;199.0884520239992;400.0;1200.0;ONE_BETA;400.0
50.0;1.5;1.5;0.7;;199.30033602015487;201.3331919948761;400.0;1200.0;ONE_BETA;400.0
50.0;2.0;2.0;0.7;;199.8371807679624;201.98046130517545;400.0;1200.0;ONE_BETA;400.0
50.0;2.5;2.5;0.7;;199.84598521769732;200.50240367179256;400.0;1200.0;ONE_BETA;400.0
50.0;3.0;3.0;0.7;;200.0186717118841;201.750004741388;400.0;1200.0;ONE_BETA;400.0
50.0;3.5;3.5;0.7;;200.39932743190545;199.9594230409204;400.0;1200.0;ONE_BETA;400.0
50.0;4.0;4.0;0.7;;200.6037065132672;198.70920025300256;400.0;1200.0;ONE_BETA;400.0
50.0;4.5;4.5;0.7;;200.1463877121604;200.16831360573383;400.0;1200.0;ONE_BETA;400.0
50.0;5.0;5.0;0.7;;200.00760518448692;198.4112857693748;400.0;1200.0;ONE_BETA;400.0
50.0;0.5;0.5;0.75;;200.6630396609875;200.50877261853145;400.0;1203.0;ONE_BETA;400.0
50.0;1.0;1.0;0.75;;199.2464518510546;200.3749110739573;400.0;1200.0;ONE_BETA;400.0
50.0;1.5;1.5;0.75;;201.1678854589761;199.04102385705923;400.0;1200.0;ONE_BETA;400.0
50.0;2.0;2.0;0.75;;200.5357835561955;199.45373966776444;400.0;1200.0;ONE_BETA;400.0
